ra,dec,designation,umag,gmag,rmag,imag,zmag,jmag,hmag,kmag,w1mag,w2mag,w3mag,w4mag,FIRST_peak,FIRST_int,VLASS_peak,VLASS_int,zsp,spCl,broad,src,ebv
40.667995,0.957533,J024240.31+005727.1,17.073,16.661,16.707,16.586,16.617,15.408,14.727,14.095,12.724,11.59,8.875,6.342,3.57,3.58,4.27,4.79,0.569,QSO,4969.3,B,-0.105
41.505234,-0.993709,J024601.25-005937.3,18.472,18.325,17.973,17.584,17.553,16.298,15.628,14.69,13.556,12.51,9.32,6.721,0.0,0.0,0.00,0.00,0.201,QSO,3901.4,Alp,0.075
41.716301,-0.991920,J024651.91-005930.9,17.255,16.907,16.843,16.734,16.645,15.692,15.028,14.264,12.79,11.66,8.898,6.693,0.0,0.0,0.00,0.00,0.468,QSO,14722.5,B,-0.035
42.529302,0.423706,J025007.03+002525.3,17.951,17.888,17.696,17.273,17.412,16.096,15.397,14.467,13.181,12.167,9.534,7.224,0.0,0.0,0.00,0.00,0.197,QSO,3447.1,Alp,0.006
43.394095,0.018972,J025334.58+000108.3,18.808,18.195,17.49,16.977,16.78,15.746,14.997,14.087,12.749,11.809,8.976,6.376,0.0,0.0,0.00,0.00,0.171,QSO,3702.8,Alp-gal,-0.081
44.195724,1.230370,J025646.97+011349.3,18.388,17.889,17.287,16.797,16.71,15.459,14.643,14.009,13.036,12.079,9.013,6.233,0.0,0.0,0.00,0.00,0.177,QSO,3709.5,Alp,0.288
44.868778,-0.333335,J025928.50-002000.0,17.351,17.396,17.301,17.014,16.816,15.939,15.199,14.492,13.867,12.888,9.894,8.295,225.85,224.97,496.65,534.06,2.000,QSO,4172.4,B,0.027
44.906082,0.626757,J025937.45+003736.3,16.757,16.471,16.48,16.315,16.394,15.339,14.535,13.654,11.772,10.567,7.913,5.802,1.1,0.78,0.77,1.06,0.532,QSO,12674.2,B,-0.008
44.908971,0.704497,J025938.15+004216.1,19.179,18.023,17.096,16.668,16.375,15.77,15.214,14.334,13.678,13.128,9.856,7.348,0.0,0.0,0.00,0.00,0.196,QSO,3705.2,Alp,0.237
44.961420,1.051271,J025950.74+010304.5,19.636,19.037,18.348,17.945,17.589,16.231,15.33,14.689,13.631,12.707,9.754,7.42,0.0,0.0,0.00,0.00,0.258,QSO,4346.2,Alp-gal,-0.152
45.351097,1.173032,J030124.26+011022.9,18.196,17.462,16.988,16.593,16.373,15.27,14.443,13.701,12.522,11.683,8.452,5.866,0.0,0.0,0.00,0.00,0.071,QSO,2954.9,Alp,0.105
45.505071,-1.021658,J030201.21-010117.9,20.191,18.754,17.622,17.088,16.861,15.859,14.975,14.359,13.419,12.675,10.18,7.096,3.95,4.01,2.08,1.83,0.167,QSO,11348.9,Alp-gal,0.074
46.093310,0.375497,J030422.39+002231.7,17.221,16.841,16.785,16.618,16.716,15.501,14.983,14.198,12.708,11.448,8.566,6.084,0.0,0.0,0.00,0.00,0.638,QSO,4016.1,B,0.007
46.664915,0.061990,J030639.57+000343.1,17.482,16.772,16.227,15.74,15.577,15.078,14.121,13.331,11.952,11.107,8.222,5.766,3.89,3.65,1.92,1.97,0.107,QSO,3695.4,Alp-gal,-0.216
47.314766,0.418948,J030915.54+002508.2,18.363,16.854,15.928,15.373,15.034,15.025,13.982,13.05,11.573,10.615,7.84,5.655,1.47,2.82,0.00,0.00,0.108,QSO,2923.2,B-gal,0.038
47.615941,-0.830790,J031027.82-004950.8,16.383,16.049,15.943,15.57,15.69,14.971,14.375,13.741,12.625,11.689,8.456,6.047,0.0,0.0,0.00,0.00,0.080,QSO,3037.6,Alp,-0.126
47.925079,-0.988597,J031142.01-005918.9,20.048,19.172,18.289,17.922,17.358,16.536,15.683,14.587,13.794,12.916,9.616,6.75,0.0,0.0,0.00,0.00,0.281,QSO,5182.5,Alp-gal,0.141
48.160091,0.976230,J031238.42+005834.4,20.074,19.008,18.111,17.572,17.372,16.137,15.179,14.021,12.228,10.971,7.905,5.158,2.9,3.84,2.03,1.85,0.130,QSO,1811.0,B-gal,0.053
49.654838,0.231517,J031837.16+001353.4,20.113,19.118,18.189,17.827,17.284,16.441,15.538,14.629,13.235,12.07,9.001,6.629,0.0,0.0,0.00,0.00,0.281,QSO,14910.1,B-gal,0.230
50.325876,-1.094434,J032118.21-010539.9,21.19,19.229,18.396,17.78,17.291,16.419,15.646,14.497,14.539,13.854,10.541,7.859,-999.0,-999.0,0.00,0.00,2.405,QSO,8399.3,B,0.182
50.521042,0.200410,J032205.05+001201.4,17.862,17.56,17.557,17.409,17.25,16.162,15.403,14.521,12.962,11.855,9.211,6.766,0.0,0.0,0.00,0.00,0.471,QSO,3836.1,B,-0.030
50.557921,0.920395,J032213.90+005513.4,17.105,16.814,16.572,16.11,16.313,14.813,14.006,12.899,11.386,10.316,7.61,5.103,0.0,0.0,0.00,0.00,0.185,QSO,3344.5,Alp,0.008
50.697185,0.057261,J032247.32+000326.1,18.83,18.115,17.843,17.559,17.601,16.306,15.641,14.647,12.672,11.505,8.821,6.532,0.0,0.0,0.00,0.00,0.603,redQSO,2897.8,B,0.277
50.906843,0.598772,J032337.64+003555.5,18.408,18.167,17.906,17.551,17.661,16.413,15.387,14.675,13.174,12.14,9.593,7.534,0.0,0.0,0.00,0.00,0.215,QSO,2636.5,Alp,-0.010
51.499877,0.133520,J032559.97+000800.6,17.938,17.762,17.661,17.61,17.058,16.223,15.283,14.592,13.058,12.061,9.614,7.435,0.0,0.0,0.00,0.00,0.360,QSO,9451.5,Alp,0.009
51.874528,-0.999557,J032729.88-005958.4,18.053,17.503,16.92,16.364,16.289,15.828,15.404,14.331,12.83,11.987,9.171,6.717,0.0,0.0,0.00,0.00,0.134,QSO,6235.5,Alp-gal,-0.198
51.932981,-1.186030,J032743.91-011109.7,19.107,18.659,17.936,17.472,17.224,16.383,15.562,14.642,13.848,13.116,10.065,7.675,-999.0,-999.0,0.00,0.00,0.213,QSO,3027.2,Alp-gal,-0.158
